f1,f2,f3,f4,f5,f6,f7,f8,f9,resp
  0.21694783,  0.18655418,  0.19134490,  0.24055080,  0.25952671,  0.16687771,  0.19993082,  0.22255606,  0.28188595, -0.00180879
  0.37370185,  0.28937412,  0.31318274,  0.32756792,  0.58264736,  0.26578455,  0.27395617,  0.39710069,  0.43776780, -0.00516083
  0.19113577,  0.16301656,  0.18506274,  0.18753641,  0.23175798,  0.16204882,  0.17721975,  0.19120949,  0.22335513, -0.00150736
  0.19580235,  0.16691676,  0.17671457,  0.17947914,  0.18741023,  0.15195024,  0.15595520,  0.16940080,  0.17395013,  0.00116046
  0.17959748,  0.15902433,  0.16813824,  0.17580965,  0.21592932,  0.14841794,  0.16813516,  0.18667475,  0.21109735, -0.00057007
  0.35586289,  0.28428256,  0.30207483,  0.32409501,  0.53226880,  0.25741238,  0.26443274,  0.38983163,  0.44163993, -0.00722832
  0.17015837,  0.15770028,  0.15774794,  0.18746820,  0.19975167,  0.14614729,  0.16944698,  0.18064527,  0.22341361, -0.00042639
  0.36162167,  0.28268671,  0.31093706,  0.33073256,  0.55131776,  0.26216663,  0.27624622,  0.38642026,  0.46161445, -0.00631140
  0.27257575,  0.21644310,  0.28930866,  0.29421569,  0.30779573,  0.23008213,  0.23950467,  0.30210787,  0.31521906, -0.00393392
  0.35319153,  0.28801586,  0.31158093,  0.33701375,  0.53288060,  0.26108236,  0.27992214,  0.39453942,  0.47733380, -0.00715794
  0.25021750,  0.20910528,  0.21484520,  0.22090509,  0.29011231,  0.18155519,  0.19102832,  0.24054797,  0.24892111, -0.00109424
  0.13975588,  0.12406662,  0.12781810,  0.14900549,  0.15821813,  0.11481321,  0.13566923,  0.13864159,  0.17005574, -0.00001276
  0.17993968,  0.16168217,  0.19328590,  0.20418327,  0.20912723,  0.17485886,  0.17919795,  0.22595479,  0.24301785,  0.00057554
  0.21961269,  0.18175150,  0.18953778,  0.22093906,  0.26420470,  0.16115581,  0.19053702,  0.21231995,  0.26031254, -0.00133089
  0.36687177,  0.29036907,  0.30159226,  0.31880456,  0.56452141,  0.26695826,  0.26902432,  0.39735757,  0.41685130, -0.00623494
  0.22064895,  0.18398837,  0.21199673,  0.22528809,  0.26011077,  0.17968648,  0.20881060,  0.20909842,  0.26261559, -0.00185413
  0.37222848,  0.31295721,  0.31334878,  0.32900787,  0.57684099,  0.26727841,  0.29357591,  0.42925972,  0.43878644, -0.00602311
  0.36374946,  0.27153268,  0.34064482,  0.34739399,  0.54604050,  0.25899610,  0.35885421,  0.36374694,  0.46848304, -0.00351373
  0.14537464,  0.12776217,  0.13130631,  0.14536787,  0.14757660,  0.11680832,  0.12775133,  0.13343109,  0.15020010,  0.00049572
  0.15919833,  0.14411585,  0.15798320,  0.16846741,  0.18604821,  0.14350128,  0.16520780,  0.17096490,  0.19671742, -0.00005412
  0.24206264,  0.20029423,  0.20390166,  0.24401207,  0.28160748,  0.17375702,  0.19889170,  0.23024244,  0.27017651, -0.00220655
  0.28003737,  0.23418880,  0.30988131,  0.32264944,  0.32802405,  0.24885403,  0.26899024,  0.33512165,  0.41819779,  0.00051954
  0.24697005,  0.20050391,  0.21031715,  0.25060377,  0.29130136,  0.17659221,  0.20839937,  0.22918607,  0.28132315, -0.00246027
  0.26855536,  0.21905661,  0.26263732,  0.26902917,  0.31774710,  0.21196244,  0.21921974,  0.29796099,  0.30212996, -0.00362961
  0.11069142,  0.10033235,  0.10068875,  0.11335660,  0.11414171,  0.09210142,  0.10297733,  0.10323343,  0.11829136,  0.00020556
  0.12396257,  0.11204055,  0.12488259,  0.13272256,  0.13772576,  0.11303310,  0.12282112,  0.13519391,  0.14732590, -0.00003567
  0.15638234,  0.13654947,  0.13792592,  0.16267347,  0.16812611,  0.12241489,  0.14221888,  0.14533149,  0.17138043, -0.00042260
  0.37044913,  0.28170244,  0.31641604,  0.33627360,  0.57094408,  0.25243671,  0.27703379,  0.38430277,  0.46642988, -0.00624304
  0.14792414,  0.13025007,  0.13412613,  0.14787883,  0.16182458,  0.11973326,  0.13263463,  0.14078616,  0.16020909, -0.00029906
  0.16702150,  0.14480835,  0.15905086,  0.16591758,  0.17840768,  0.13862694,  0.14358897,  0.16583201,  0.17646980, -0.00035443
  0.36284075,  0.27323830,  0.30163610,  0.37705798,  0.54371909,  0.23819114,  0.29211682,  0.36361230,  0.51704624, -0.00542255
