f1,f2,f3,resp
  1.02508590,  1.05505821,  0.67235388,  0.57380709
  0.99203101,  1.03015787,  0.57291750,  6.20255479
  0.98349015,  1.01013366,  0.62864259,  1.86875268
  1.01287157,  1.07705812,  0.64654072,  1.20828414
  1.00344785,  1.03866428,  0.66671689,  1.05728546
  1.01147314,  1.01180473,  0.62886635,  0.76387875
  1.01657319,  1.03162445,  0.66591374,  0.61478061
  1.01012652,  1.04549689,  0.64192269,  0.44249795
  0.99088976,  1.05734176,  0.63482309,  1.42436655
  0.97935423,  1.07107320,  0.67164445,  2.97947304
  1.03501454,  1.07376324,  0.64670169,  0.82644673
  0.99707856,  1.03708620,  0.67043721,  1.52567468
  0.98879595,  1.02494511,  0.65323699,  1.54353654
  1.00616882,  1.05822569,  0.62711927,  1.16429338
  0.99916370,  1.03556546,  0.62511682,  0.99774057
  1.01698673,  1.02044148,  0.62027275,  0.80825569
  1.00130370,  1.01688745,  0.62268129,  1.07820699
  1.01880718,  1.05148380,  0.64443121,  0.31246999
  1.00486455,  1.07750145,  0.66911832,  1.65865457
  1.00521809,  1.08335789,  0.63329658,  2.06603868
  1.04263436,  1.05890924,  0.69698699,  1.40540166
  0.98549354,  1.05825033,  0.59651172,  3.96247643
  0.98766017,  1.06006430,  0.63303159,  1.67808156
  0.98896806,  1.02752218,  0.61153963,  1.87052049
  0.98525371,  1.01923085,  0.64698830,  1.71356832
  1.01285105,  1.02386947,  0.62098417,  0.81277739
  1.00863289,  1.01742959,  0.67535215,  1.62557041
  1.01779513,  1.05880497,  0.64380846,  0.49462198
  1.00377520,  1.06284948,  0.61891720,  1.81275409
  1.00639261,  1.07264487,  0.65855719,  1.21882228
  1.06685102,  1.06952444,  0.65375971,  1.08907965
  0.96494546,  1.04604152,  0.66732465,  3.57713338
  0.98255184,  1.07512084,  0.66870085,  2.77153990
  0.99684598,  1.00970325,  0.63906380,  1.25593272
  0.98380945,  1.00107515,  0.60560255,  2.66378292
  1.02681106,  1.03672924,  0.63167124,  0.31144025
  0.99086914,  1.03963937,  0.62442670,  1.35058310
  1.01934201,  1.04750103,  0.64918625,  0.22718719
  1.01007244,  1.03422991,  0.63263952,  0.50049114
  1.02458911,  1.04419340,  0.64763274,  0.11363874
  1.05198378,  1.05797379,  0.71235168,  2.27933288
  0.96663747,  1.03304504,  0.59366242,  4.13205414
  0.99839857,  1.07387740,  0.64428257,  1.54381358
  0.98705478,  1.02450514,  0.62818490,  1.43526877
  1.00382659,  1.01687608,  0.65137965,  0.95309004
  1.03403634,  1.05053052,  0.66149729,  0.15110555
  1.02605566,  1.04002321,  0.64302355,  0.10017284
  1.02434457,  1.03018228,  0.63695525,  0.18914539
  1.00676040,  1.00910006,  0.59919528,  2.34654669
  1.03221544,  1.04348080,  0.66393876,  0.16908337
  1.05551146,  1.06143028,  0.65274151,  0.51391010
  0.96266126,  1.02944628,  0.65847654,  3.51768932
  1.00707977,  1.04327178,  0.66793976,  0.92759453
  0.97035846,  1.04790498,  0.64907795,  2.52531390
  1.00281892,  1.03017485,  0.61559373,  1.25950381
  1.03412402,  1.07734125,  0.65985390,  0.83866415
  1.02558212,  1.05396957,  0.61159498,  1.91748979
  0.99951923,  1.01890891,  0.61887622,  1.22866450
  0.98677426,  1.00895243,  0.63773070,  1.75633563
  1.03252239,  1.06255472,  0.65036886,  0.36520848
  1.03507989,  1.04228226,  0.68808728,  1.01455555
  0.97097560,  1.03360776,  0.58821211,  4.49275184
  1.01815472,  1.04362782,  0.65370073,  0.24842937
  0.99248687,  1.07138992,  0.64872046,  1.68740772
  1.02713063,  1.05053383,  0.65737489,  0.17548220
  1.06760844,  1.07243551,  0.67370191,  1.12393438
  1.03847120,  1.04817298,  0.68484004,  0.79527880
  0.99464780,  1.02026970,  0.63423767,  1.09460229
  1.00963189,  1.02010109,  0.60727553,  1.63320230
  1.01611250,  1.06842744,  0.64227148,  0.85479113
  1.02381496,  1.04847190,  0.64237339,  0.21661347
  0.96798674,  1.03766625,  0.64371936,  2.57282317
  0.98808859,  1.06503872,  0.64454876,  1.69043727
  0.99447074,  1.05100750,  0.63907891,  1.08311887
  1.02986930,  1.04886560,  0.65699828,  0.12106606
  1.03615883,  1.07574538,  0.68241545,  1.17289985
  1.04958116,  1.05417845,  0.61938681,  1.73688386
  0.98839916,  1.01936384,  0.62270533,  1.52554999
  0.99364366,  1.04972329,  0.64319850,  1.08616474
  1.01877085,  1.04024175,  0.65744318,  0.27963037
  1.00269625,  1.02593776,  0.67259266,  1.52165818
  0.97733177,  1.04019739,  0.59833877,  3.39490451
  0.97854826,  1.05851245,  0.63964180,  2.05198267
  1.00621843,  1.01211297,  0.62692112,  0.92235408
  1.01349263,  1.03476821,  0.63440626,  0.39269658
  0.99947528,  1.08652782,  0.67325559,  2.39689544
  1.03861681,  1.04828396,  0.69986108,  1.58496048
  0.97882891,  1.01504088,  0.63079583,  2.00925376
  0.98880182,  1.05695843,  0.63084876,  1.58624474
  1.00282596,  1.00612428,  0.62961349,  1.13719534
  1.01368063,  1.01706534,  0.64112756,  0.50513245
